Date, Time, Temperature, Humidity, Signal for fan
[dd/mm/yy],[hh:mm:ss],[°C],[%], [-]
02/05/17, 15:53:12, 55, 18, 1
02/05/17, 15:53:42, 55, 18, 1
02/05/17, 15:54:12, 55, 17, 1
02/05/17, 15:54:47, 55, 18, 1
02/05/17, 15:55:18, 55, 18, 1
02/05/17, 15:55:51, 55, 18, 1
02/05/17, 15:56:24, 55, 18, 1
02/05/17, 15:57:00, 55, 18, 1
02/05/17, 15:57:31, 55, 17, 1
02/05/17, 15:58:01, 55, 18, 1
02/05/17, 15:58:32, 55, 18, 1
02/05/17, 15:59:04, 55, 18, 1
02/05/17, 15:59:35, 55, 17, 1
02/05/17, 16:00:07, 55, 18, 1
02/05/17, 16:00:37, 55, 18, 1
02/05/17, 16:01:08, 55, 18, 1
02/05/17, 16:01:42, 55, 18, 1
02/05/17, 16:02:19, 55, 18, 1
02/05/17, 16:02:54, 55, 18, 1
02/05/17, 16:03:37, 55, 18, 1
02/05/17, 16:04:10, 55, 18, 1
02/05/17, 16:04:42, 55, 18, 1
02/05/17, 16:05:13, 55, 18, 1
02/05/17, 16:05:43, 55, 18, 1
02/05/17, 16:06:13, 55, 18, 1
02/05/17, 16:06:46, 55, 18, 1
02/05/17, 16:07:16, 55, 18, 1
02/05/17, 16:07:54, 55, 18, 1
02/05/17, 16:08:25, 55, 18, 1
02/05/17, 16:09:00, 55, 18, 1
02/05/17, 16:09:34, 55, 18, 1
02/05/17, 16:10:04, 55, 18, 1
02/05/17, 16:10:35, 55, 18, 1
02/05/17, 16:11:06, 55, 18, 1
02/05/17, 16:11:37, 55, 18, 1
02/05/17, 16:12:08, 55, 18, 1
02/05/17, 16:12:38, 55, 18, 1
02/05/17, 16:13:09, 55, 18, 1
02/05/17, 16:13:39, 55, 18, 1
02/05/17, 16:14:09, 55, 18, 1
02/05/17, 16:14:39, 55, 18, 1
02/05/17, 16:15:10, 55, 18, 1
02/05/17, 16:15:41, 55, 18, 1
02/05/17, 16:16:11, 55, 18, 1
02/05/17, 16:16:41, 55, 18, 1
02/05/17, 16:17:11, 55, 17, 1
02/05/17, 16:17:43, 55, 18, 1
02/05/17, 16:18:15, 55, 18, 1
02/05/17, 16:18:45, 55, 18, 1
02/05/17, 16:19:19, 55, 18, 1
02/05/17, 16:19:49, 55, 17, 1
02/05/17, 16:20:20, 55, 17, 1
02/05/17, 16:20:52, 55, 18, 1
02/05/17, 16:21:22, 55, 17, 1
02/05/17, 16:21:53, 55, 18, 1
02/05/17, 16:22:26, 55, 18, 1
02/05/17, 16:23:03, 55, 18, 1
02/05/17, 16:23:34, 55, 18, 1
02/05/17, 16:24:04, 55, 18, 1
02/05/17, 16:24:35, 55, 18, 1
02/05/17, 16:25:06, 55, 18, 1
02/05/17, 16:25:38, 55, 18, 1
02/05/17, 16:26:10, 55, 18, 1
02/05/17, 16:26:46, 55, 18, 1
02/05/17, 16:27:16, 55, 18, 1
02/05/17, 16:27:46, 55, 18, 1
02/05/17, 16:28:17, 55, 18, 1
02/05/17, 16:28:50, 55, 18, 1
02/05/17, 16:29:22, 55, 18, 1
02/05/17, 16:29:52, 55, 17, 1
02/05/17, 16:30:24, 55, 18, 1
02/05/17, 16:30:56, 55, 18, 1
02/05/17, 16:31:31, 55, 18, 1
02/05/17, 16:32:01, 55, 18, 1
02/05/17, 16:32:35, 55, 18, 1
02/05/17, 16:33:10, 55, 18, 1
02/05/17, 16:33:41, 55, 17, 1
02/05/17, 16:34:12, 55, 18, 1
02/05/17, 16:34:42, 55, 18, 1
02/05/17, 16:35:14, 55, 18, 1
02/05/17, 16:35:46, 55, 18, 1
02/05/17, 16:36:17, 55, 17, 1
02/05/17, 16:36:49, 55, 18, 1
02/05/17, 16:37:20, 55, 18, 1
02/05/17, 16:37:53, 55, 18, 1
02/05/17, 16:38:24, 55, 18, 1
02/05/17, 16:38:56, 55, 18, 1
02/05/17, 16:39:27, 55, 18, 1
02/05/17, 16:39:57, 55, 18, 1
02/05/17, 16:40:31, 55, 18, 1
02/05/17, 16:41:01, 55, 18, 1
02/05/17, 16:41:33, 55, 18, 1
02/05/17, 16:42:04, 55, 18, 1
02/05/17, 16:42:37, 55, 18, 1
02/05/17, 16:43:07, 55, 18, 1
02/05/17, 16:43:39, 55, 18, 1
02/05/17, 16:44:10, 55, 18, 1
02/05/17, 16:44:41, 55, 18, 1
02/05/17, 16:45:13, 55, 18, 1
02/05/17, 16:45:45, 55, 18, 1
02/05/17, 16:46:15, 55, 18, 1
02/05/17, 16:46:45, 55, 18, 1
02/05/17, 16:47:16, 55, 17, 1
02/05/17, 16:47:47, 55, 18, 1
02/05/17, 16:48:18, 55, 18, 1
02/05/17, 16:48:49, 55, 18, 1
02/05/17, 16:49:21, 55, 18, 1
02/05/17, 16:49:57, 55, 18, 1
02/05/17, 16:50:29, 55, 18, 1
02/05/17, 16:51:00, 55, 18, 1
02/05/17, 16:51:33, 55, 18, 1
02/05/17, 16:52:06, 55, 18, 1
02/05/17, 16:52:37, 55, 18, 1
02/05/17, 16:53:10, 55, 18, 1
02/05/17, 16:53:40, 55, 18, 1
02/05/17, 16:54:10, 55, 18, 1
02/05/17, 16:54:40, 55, 18, 1
02/05/17, 16:55:11, 55, 18, 1
02/05/17, 16:55:42, 55, 18, 1
02/05/17, 16:56:12, 55, 18, 1
02/05/17, 16:56:42, 55, 18, 1
02/05/17, 16:57:14, 55, 18, 1
02/05/17, 16:57:48, 55, 18, 1
02/05/17, 16:58:18, 55, 18, 1
02/05/17, 16:59:00, 55, 18, 1
02/05/17, 16:59:34, 55, 18, 1
02/05/17, 17:00:09, 55, 18, 1
02/05/17, 17:00:40, 55, 18, 1
02/05/17, 17:01:10, 55, 18, 1
02/05/17, 17:01:42, 55, 18, 1
02/05/17, 17:02:14, 55, 18, 1
02/05/17, 17:02:50, 55, 18, 1
02/05/17, 17:03:21, 55, 18, 1
02/05/17, 17:03:52, 55, 18, 1
